8000	42
8001	41
8007	21
8010	8
8013	22
8014	9
8017	34
8020	7
8022	44
8028	46
8032	27
8040	28
8049	49
8051	31
8064	24
8066	39
8067	15
8079	0
8083	38
8083	45
8089	29
8090	34
8091	10
8091	36
8092	32
8095	3
8098	12
8112	6
8125	13
8129	1
8129	33
8132	28
8137	4
8137	7
8138	8
8147	24
8155	49
8156	23
8158	21
8159	26
8160	20
8160	40
8161	25
8161	37
8163	31
8169	30
8170	27
8170	46
8178	2
8181	10
8201	35
8204	38
8209	39
8209	44
8210	17
8210	43
8215	45
8216	28
8227	3
8241	46
8243	6
8245	34
8255	12
8258	21
8263	24
8275	49
8293	29
8297	0
8300	8
8301	15
8306	22
8311	41
8312	10
8312	27
8314	4
8314	13
8314	45
8315	30
8321	36
8325	7
8345	37
8348	46
8355	38
8366	28
8379	44
8380	21
8381	49
8383	3
8384	39
8386	12
8387	31
8388	1
8388	13
8389	35
8392	24
8396	10
8396	33
8398	42
8403	26
8427	4
8429	6
8429	43
8430	48
8431	23
8440	15
8443	28
8444	29
8450	7
8450	30
8454	27
8454	41
8456	17
8470	34
8476	46
8487	49
8493	24
8498	40
8501	38
8504	21
8505	22
8507	2
8512	20
8518	36
8520	18
8521	3
8522	12
8522	44
8532	45
8535	7
8538	13
8543	1
8545	31
8552	10
8552	35
8564	39
8565	24
8572	27
8574	49
8579	8
8581	37
8583	28
8588	0
8588	46
8590	34
8591	9
8591	15
8595	5
8596	30
8604	26
8614	25
8620	6
8621	29
8628	38
8633	21
8638	45
8641	32
8641	49
8645	12
8648	4
8653	20
8661	7
8664	3
8667	44
8681	31
8682	19
8682	36
8691	24
8693	23
8695	42
8696	13
8698	33
8700	46
8720	28
8738	41
8744	15
8748	1
8748	10
8751	6
8751	35
8752	29
8754	21
8759	43
8763	27
8770	34
8770	49
8773	3
8774	30
8776	39
8787	24
8793	18
8799	46
8807	12
8816	4
8816	45
8826	7
8828	10
8830	8
8833	25
8835	0
8838	28
8838	38
8838	40
8843	2
8844	13
8846	17
8846	22
8851	31
8854	44
8867	26
8867	37
8876	49
8878	24
8879	6
8889	47
8890	21
8892	20
8893	41
8903	15
8903	48
8921	46
8923	1
8927	12
8935	30
8935	39
8936	36
8944	7
8948	29
8952	10
8962	8
8963	45
8964	28
8965	49
8970	32
8974	24
8982	4
8985	3
8985	34
8985	44
8988	27
9004	17
9004	37
9006	13
9007	33
9009	6
9009	12
9010	14
9010	23
9010	43
9013	15
9024	21
9024	31
9034	30
9042	46
9045	38
9048	35
9058	28
9061	7
9063	16
9064	44
9067	4
9067	49
9096	36
9097	8
9098	9
9098	20
9098	26
9100	22
9100	24
9100	45
9112	49
9113	0
9114	29
9115	34
9116	10
9117	2
9136	6
9137	46
9144	3
9146	1
9146	12
9149	28
9149	39
9149	48
9153	41
9160	21
9166	27
9168	30
9177	15
9183	31
9194	37
9197	25
9218	38
9218	42
9225	7
9225	13
9229	35
9229	44
9233	10
9234	24
9238	45
9241	34
9248	21
9254	49
9260	28
9264	39
9273	6
9284	30
9285	8
9285	29
9286	23
9287	46
9297	15
9298	20
9319	4
9319	43
9320	5
9323	3
9327	17
9327	24
9331	26
9338	7
9344	31
9344	45
9355	28
9360	13
9368	38
9374	29
9375	18
9375	46
9377	49
9379	12
9381	33
9384	36
9404	6
9416	30
9417	24
9419	44
9424	41
9425	2
9426	21
9434	3
9442	27
9443	1
9446	7
9447	10
9447	25
9448	22
9450	4
9450	15
9453	34
9457	45
9460	8
9462	49
9476	0
9490	42
9493	36
9494	35
9498	12
9500	47
9505	17
9505	31
9506	37
9507	20
9513	38
9516	28
9520	21
9520	40
9521	39
9528	46
9534	26
9552	49
9562	35
9563	6
9564	44
9566	32
9568	3
9570	29
9571	24
9573	16
9601	7
9602	30
9609	15
9613	28
9616	10
9617	34
9624	13
9634	27
9636	45
9637	8
9639	46
9654	21
9656	1
9656	44
9658	6
9658	25
9661	31
9662	39
9667	4
9673	41
9673	49
9674	33
9677	24
9686	23
9693	38
9698	0
9700	12
9712	36
9714	46
9718	48
9726	17
9742	7
9742	28
9742	34
9743	3
9745	18
9745	29
9745	43
9748	49
9752	10
9757	2
9762	20
9765	30
9769	8
9783	21
9792	24
9798	37
9802	26
9803	45
9804	44
9807	22
9815	6
9822	15
9823	27
9848	31
9849	46
9855	1
9855	29
9861	38
9863	0
9866	39
9867	12
9869	7
9869	28
9870	13
9880	25
9884	35
9900	24
9904	41
9905	49
9909	45
9910	40
9911	3
9911	34
9911	37
9913	4
9916	21
9916	31
9918	36
9922	17
9930	10
9939	47
9943	1
9945	42
9947	44
9949	27
9951	6
9959	38
9963	46
9977	49
9978	12
9982	8
9991	28
9992	13
9999	20
